host_since,name,neighbourhood,property_type,review_scores_rating_bin,room_type,zipcode,beds,number_of_records,number_of_reviews,price,review_scores_rating
2/10/2014,1 Bedroom in Prime Williamsburg,Brooklyn,Apartment,90.0,Entire home/apt,11249.0,1.0,1,0,145,94.0
2/10/2014,"Sunny, Private room in Bushwick",Brooklyn,Apartment,90.0,Private room,11206.0,1.0,1,1,37,94.0
2/10/2014,Sunny Room in Harlem,Manhattan,Apartment,90.0,Private room,10032.0,1.0,1,1,28,94.0
6/26/2008,Gorgeous 1 BR with Private Balcony,Manhattan,Apartment,90.0,Entire home/apt,10024.0,3.0,1,0,199,94.0
7/25/2008,Big Greenpoint 1BD w/ Skyline View,Brooklyn,Apartment,100.0,Entire home/apt,11222.0,1.0,1,4,149,100.0
8/12/2008,Amazing Also,Manhattan,Apartment,100.0,Entire home/apt,10004.0,1.0,1,9,250,100.0
8/15/2008,"Colorful, quiet, & near the subway!",Brooklyn,Apartment,90.0,Private room,11201.0,1.0,1,80,90,94.0
8/20/2008,East Village Cocoon: 2 Bedroom Flat,Manhattan,Apartment,90.0,Entire home/apt,10009.0,2.0,1,95,270,90.0
8/20/2008,Lovely 2 Bedroom East Village Nest,Manhattan,Apartment,95.0,Entire home/apt,10009.0,2.0,1,23,290,96.0
8/27/2008,THE PUTNAM,Brooklyn,Apartment,95.0,Entire home/apt,11221.0,2.0,1,14,170,98.0
9/6/2008,Stay at Chez Chic budget room #1,Manhattan,Apartment,90.0,Private room,10026.0,2.0,1,120,59,93.0
9/6/2008,Stay at Chez Chic budget Room #2,Manhattan,Apartment,90.0,Private room,10026.0,2.0,1,81,49,91.0
9/7/2008,Renovated and spacious townhome,Brooklyn,House,90.0,Private room,11223.0,1.0,1,0,68,94.0
9/9/2008,Midtown Castle,Manhattan,Apartment,95.0,Entire home/apt,10018.0,1.0,1,17,285,97.0
9/10/2008,Newly renovated historic brownstone,Brooklyn,Apartment,95.0,Private room,11216.0,1.0,1,32,75,95.0
9/14/2008,Large Bedroom in 3-bedroom Apt.,Manhattan,Apartment,95.0,Private room,10025.0,1.0,1,52,145,99.0
9/25/2008,"Elegant NYC, 10mins to Manhattan!",Queens,Apartment,90.0,Private room,11106.0,1.0,1,3,100,93.0
9/26/2008,"Priv Apt,Garden,BBQ,A/C,BigTV,for 4",Manhattan,Apartment,85.0,Entire home/apt,10001.0,3.0,1,171,150,85.0
9/26/2008,Huge Room Soho LOFT off WBroadway,Manhattan,Apartment,85.0,Private room,10013.0,1.0,1,9,125,86.0
9/26/2008,Master Room Soho LOFT off WBroadway,Manhattan,Apartment,90.0,Private room,10013.0,1.0,1,0,175,94.0
10/2/2008,Beautiful Furnished Master Bedroom,Queens,House,90.0,Private room,11365.0,1.0,1,0,90,94.0
10/10/2008,16' x 11' Furnished BR with Balcony,Brooklyn,Apartment,100.0,Private room,11220.0,1.0,1,1,40,100.0
10/14/2008,Conveniently Queens with Two Rooms,Queens,Apartment,90.0,Entire home/apt,11373.0,1.0,1,4,89,93.0
10/14/2008,Quality Cozy Studio Next to Subway,Queens,Apartment,90.0,Entire home/apt,11373.0,1.0,1,16,95,94.0
10/14/2008,Queens Quality Convenient Apartment,Queens,Apartment,100.0,Entire home/apt,11373.0,2.0,1,9,99,100.0
10/29/2008,1 Bedroom Apartment in Chinatown!,Manhattan,Apartment,90.0,Entire home/apt,10002.0,1.0,1,19,149,93.0
10/29/2008,3 bedroom apartment in Chinatown!,Manhattan,Apartment,80.0,Entire home/apt,10038.0,4.0,1,2,499,80.0
10/29/2008,Private bedroom in spacious loft!,Manhattan,Apartment,90.0,Private room,10038.0,4.0,1,0,99,94.0
10/29/2008,Share a bedroom in a huge Apartment,Manhattan,Apartment,90.0,Shared room,10038.0,1.0,1,0,99,94.0
11/9/2008,++ Brooklyn Penthouse Guestroom ++,Brooklyn,Apartment,90.0,Private room,11206.0,1.0,1,16,125,94.0
11/12/2008,Robin's Nest on the fabulous UWS,Manhattan,Apartment,85.0,Entire home/apt,10024.0,2.0,1,28,170,88.0
11/12/2008,Airy Room on the fabulous UWS,Manhattan,Apartment,90.0,Private room,10024.0,1.0,1,62,120,92.0
11/19/2008,"Large Room, Amazing E. Village Apt",Manhattan,Apartment,85.0,Private room,10009.0,1.0,1,23,79,89.0
11/21/2008,Sunny & Bright Harlem Home,Manhattan,Apartment,95.0,Entire home/apt,10027.0,3.0,1,6,125,97.0
12/1/2008,A home in the heart of Park Slope,Brooklyn,Apartment,90.0,Entire home/apt,11217.0,1.0,1,5,110,92.0
12/7/2008,Whole B'stone flr w priv kit & bat,Brooklyn,Other,85.0,Private room,11238.0,3.0,1,14,89,85.0
12/31/2008,Bergen's Best Short Stay 2!,Brooklyn,Apartment,90.0,Entire home/apt,11213.0,3.0,1,12,180,93.0
12/31/2008,Bergen's Best!,Brooklyn,Apartment,95.0,Entire home/apt,11213.0,3.0,1,5,180,95.0
1/2/2009,Charming Central Park Hideaway,Manhattan,Apartment,80.0,Entire home/apt,10026.0,1.0,1,23,143,82.0
1/2/2009,NYC 2-Bed Apt Mins to Times Square,Manhattan,Apartment,85.0,Entire home/apt,10027.0,2.0,1,28,230,89.0
1/2/2009,Beautiful Apt with Park Views,Manhattan,Apartment,85.0,Entire home/apt,10030.0,5.0,1,40,350,86.0
1/2/2009,Comfy 2BR Apt 20 mins to Midtown,Queens,Apartment,85.0,Entire home/apt,11368.0,2.0,1,47,135,86.0
1/2/2009,Beautiful Room 1 with Park Views,Manhattan,Apartment,85.0,Private room,10027.0,1.0,1,9,85,87.0
1/2/2009,Beautiful Room 2 with Park Views,Manhattan,Apartment,90.0,Private room,10027.0,1.0,1,13,85,91.0
1/2/2009,Beautiful Room 3 with Park Views,Manhattan,Apartment,90.0,Private room,10027.0,1.0,1,14,85,92.0
1/2/2009,Nice Apt Near Columbia University 2,Manhattan,Apartment,80.0,Private room,10031.0,1.0,1,35,60,81.0
1/2/2009,Nice Apt Near Columbia University 3,Manhattan,Apartment,80.0,Private room,10031.0,2.0,1,34,70,82.0
1/2/2009,Nice  Apt Near Columbia University,Manhattan,Bed & Breakfast,85.0,Private room,10031.0,1.0,1,68,55,86.0
1/5/2009,Beautiful Apt. In Astoria,Queens,Apartment,100.0,Private room,11105.0,1.0,1,4,44,100.0
1/26/2009,PERFECT location! Contact me NOW!,Manhattan,Apartment,85.0,Entire home/apt,10036.0,1.0,1,14,200,87.0
1/29/2009,SPACIOUS ARTY 1BR NOHO / E. VILLAGE,Manhattan,Apartment,95.0,Entire home/apt,10003.0,2.0,1,42,175,95.0
1/29/2009,Next to Empire State building,Manhattan,Apartment,100.0,Entire home/apt,10016.0,1.0,1,9,250,100.0
1/30/2009,"Luxury Building, big 1BR - 90th",Manhattan,Apartment,95.0,Entire home/apt,10128.0,2.0,1,7,165,96.0
2/2/2009,CHEZ LEO Clinton Hill Ft. Greene,Brooklyn,Apartment,85.0,Entire home/apt,11238.0,1.0,1,13,115,88.0
2/2/2009,"Downtown calm, convenience & space",Manhattan,Apartment,95.0,Entire home/apt,10005.0,1.0,1,16,145,95.0
2/2/2009,Large & Cozy Midtown East 1 BR Apt,Manhattan,Apartment,85.0,Entire home/apt,10016.0,1.0,1,47,200,86.0
2/2/2009,2 Floor Loft room in Artist Studio,Brooklyn,Loft,80.0,Private room,11215.0,2.0,1,3,74,80.0
2/2/2009,Spacious Loft Room in Artist Studio,Brooklyn,Loft,90.0,Private room,11215.0,2.0,1,0,74,94.0
2/2/2009,Spacious room in Huge artist Loft,Brooklyn,Loft,100.0,Private room,11215.0,1.0,1,2,84,100.0
2/2/2009,East Vil  1br in 2br apt + balcony,Manhattan,Apartment,100.0,Private room,10009.0,1.0,1,3,125,100.0
2/3/2009,Quiet Slice of Manhattan,Manhattan,Apartment,90.0,Entire home/apt,10016.0,1.0,1,42,129,92.0
2/3/2009,BlissArtsSpace!,Brooklyn,Apartment,90.0,Private room,11216.0,1.0,1,41,50,90.0
2/3/2009,Private Bliss Art Space 2,Brooklyn,Apartment,90.0,Private room,11216.0,1.0,1,52,50,93.0
2/4/2009,Historic Fort Greene - Red Rooster,Brooklyn,Apartment,80.0,Entire home/apt,11217.0,3.0,1,15,185,82.0
2/4/2009,Historic Fort Greene-Deco on Greene,Brooklyn,Apartment,85.0,Entire home/apt,11217.0,3.0,1,21,185,85.0
2/4/2009,Skylight on Greene,Brooklyn,Apartment,75.0,Entire home/apt,11217.0,3.0,1,6,150,76.0
2/6/2009,Your own studio+patio no roommates,Manhattan,Apartment,80.0,Entire home/apt,10002.0,1.0,1,1,80,80.0
2/6/2009,Big Lovely Chelsea Studio! Sleeps 5,Manhattan,Apartment,85.0,Entire home/apt,10010.0,1.0,1,8,190,89.0
2/6/2009,Grande Super Large APT !!!,Manhattan,Apartment,80.0,Entire home/apt,10010.0,3.0,1,10,190,80.0
2/6/2009,Great Apartment with PATIO!!,Manhattan,Apartment,80.0,Entire home/apt,10010.0,2.0,1,1,190,80.0
2/6/2009,Super Large APT,Manhattan,Apartment,80.0,Entire home/apt,10010.0,2.0,1,29,175,80.0
2/6/2009,HUGE and SUNNY one bedroom!,Manhattan,Apartment,90.0,Entire home/apt,10011.0,2.0,1,29,190,93.0
2/7/2009,Cute & Cozy Lower East Side 1 bdrm,Manhattan,Apartment,90.0,Entire home/apt,10002.0,1.0,1,112,140,94.0
2/7/2009,"Cute,Cozy Lower East Side 1bdrm",Manhattan,Apartment,95.0,Entire home/apt,10002.0,1.0,1,4,140,95.0
2/7/2009,LowerEastSide apt share shortterm 2,Manhattan,Apartment,95.0,Private room,10002.0,1.0,1,25,75,97.0
2/7/2009,LowerEastSide apt share shortterm 1,Manhattan,Apartment,95.0,Shared room,10002.0,1.0,1,132,45,95.0
2/7/2009,LowerEastSide apt share shortterm 3,Manhattan,Apartment,95.0,Shared room,10002.0,1.0,1,17,45,95.0
2/9/2009,Artist's Loft with indoor Hammock!,Brooklyn,Apartment,95.0,Entire home/apt,11211.0,1.0,1,51,135,95.0
2/9/2009,L.E.S. Must See!!,Manhattan,Apartment,85.0,Entire home/apt,10002.0,1.0,1,156,100,86.0
2/9/2009,Cute Cozy Studio in Manhattan,Manhattan,Apartment,90.0,Entire home/apt,10023.0,1.0,1,29,145,91.0
2/10/2009,Beautiful 1br on Upper West Side,Manhattan,Apartment,90.0,Entire home/apt,10025.0,1.0,1,30,135,94.0
2/11/2009,Cozy Girly Studio; Upper West Side,Manhattan,Apartment,90.0,Entire home/apt,10024.0,1.0,1,98,200,94.0
2/15/2009,Creative Charm in Brooklyn,Brooklyn,Apartment,100.0,Private room,11238.0,1.0,1,4,65,100.0
2/16/2009,Sunny Large 1 Bedroom w/ balconies!,Brooklyn,Apartment,100.0,Entire home/apt,11222.0,1.0,1,1,165,100.0
2/16/2009,Upper West Side-Unique One Bedroom,Manhattan,Apartment,90.0,Entire home/apt,10025.0,1.0,1,24,145,94.0
2/16/2009,Central Manhattan/near Broadway,Manhattan,Apartment,95.0,Private room,10036.0,1.0,1,74,135,97.0
2/17/2009,GREAT NEW LOWER EAST SIDE/ SOHO APT,Manhattan,Apartment,85.0,Entire home/apt,10002.0,2.0,1,20,225,89.0
2/17/2009,HUGE 2 BEDROOM LOFT NOHO/EAST VILL.,Manhattan,Apartment,75.0,Entire home/apt,10003.0,3.0,1,32,250,78.0
2/17/2009,Ideal Charming Large W Village Apt!,Manhattan,Apartment,85.0,Entire home/apt,10014.0,3.0,1,32,250,85.0
2/19/2009,Location! Location! Location!,Brooklyn,Apartment,90.0,Entire home/apt,11215.0,1.0,1,188,145,90.0
2/19/2009,Sunny Beautiful Sublet All Yours!!!,Brooklyn,Apartment,90.0,Entire home/apt,11215.0,3.0,1,221,149,92.0
2/19/2009,Park Slope haven 15 mins from Soho,Brooklyn,Apartment,90.0,Entire home/apt,11217.0,1.0,1,39,150,93.0
2/22/2009,River view in the Village,Manhattan,Apartment,95.0,Entire home/apt,10014.0,1.0,1,57,200,98.0
2/23/2009,Beautiful studio by Prospect Park,Brooklyn,Apartment,90.0,Entire home/apt,11218.0,1.0,1,0,120,94.0
2/23/2009,Luxe 1BD apartment by Prospect Park,Brooklyn,Apartment,95.0,Entire home/apt,11218.0,1.0,1,4,150,95.0
2/23/2009,Charming W.Village Apt. 8/25-9/15,Manhattan,Apartment,100.0,Entire home/apt,10014.0,1.0,1,1,175,100.0
2/25/2009,Sunny 1BR East Harlem Apartment,Manhattan,Apartment,90.0,Entire home/apt,10035.0,2.0,1,11,109,91.0
2/27/2009,"Clean, Safe, Convenient, Comfy",Manhattan,Apartment,100.0,Shared room,10027.0,1.0,1,3,80,100.0
3/3/2009,Large Furnished Room Near B'way,Manhattan,Apartment,85.0,Private room,10019.0,1.0,1,242,73,85.0
3/10/2009,"Beautiful Apt, Garden #3 Best Area",Brooklyn,Apartment,95.0,Entire home/apt,11215.0,3.0,1,67,135,97.0
3/10/2009,Gorgeous house Room 2 BEST location,Brooklyn,House,95.0,Private room,11215.0,2.0,1,95,89,96.0
3/10/2009,"Gorgeous Room #1, Best Location",Brooklyn,House,90.0,Private room,11215.0,2.0,1,118,89,92.0
3/14/2009,"Amazing Apt in WILLIAMSBURG, NY!!",Brooklyn,Apartment,95.0,Entire home/apt,11211.0,2.0,1,60,250,96.0
3/14/2009,Cozy Convenient Apt for Travelers,Queens,Apartment,90.0,Entire home/apt,11358.0,1.0,1,0,99,94.0
3/21/2009,BnoB (2 br)  Heart of Williamsburg,Brooklyn,Apartment,90.0,Entire home/apt,11249.0,2.0,1,132,250,93.0
3/21/2009,The InstituteHeart of Williamsburg,Brooklyn,Apartment,90.0,Entire home/apt,11249.0,2.0,1,136,250,94.0
3/21/2009,Great house in Williamsburg,Brooklyn,House,95.0,Entire home/apt,11211.0,2.0,1,14,250,98.0
3/22/2009,"Large, Sunny, Central 2br; Terrace",Brooklyn,Apartment,100.0,Entire home/apt,11217.0,2.0,1,2,240,100.0
3/25/2009,Bright Clean Spacious 1BR,Brooklyn,Apartment,90.0,Entire home/apt,11213.0,1.0,1,0,115,94.0
3/25/2009,Bright Clean Room in Bushwick,Brooklyn,Apartment,90.0,Private room,11237.0,1.0,1,0,72,94.0
3/26/2009,House on 11th - Garden Level Apt.,Brooklyn,Apartment,90.0,Entire home/apt,11215.0,1.0,1,119,165,91.0
3/26/2009,Sunset Retreat - Charming Oasis,Brooklyn,Apartment,90.0,Entire home/apt,11220.0,1.0,1,79,90,90.0
3/26/2009,Sunset Retreat - Top Floor Oasis,Brooklyn,Apartment,85.0,Entire home/apt,11220.0,1.0,1,21,105,88.0
3/26/2009,House on Henry (2nd FLR Suite),Brooklyn,Apartment,85.0,Entire home/apt,11231.0,2.0,1,68,155,88.0
3/26/2009,House on Henry (3rd FLR Suite),Brooklyn,Apartment,90.0,Entire home/apt,11231.0,2.0,1,106,160,94.0
3/30/2009,NYC Historic District Posh Studio,Queens,Apartment,90.0,Private room,11372.0,1.0,1,0,150,94.0
4/3/2009,"Dream Come True, Too! Williamsburg",Brooklyn,Apartment,90.0,Private room,11211.0,1.0,1,43,89,94.0
4/3/2009,"Dream Come True! Williamsburg, BK",Brooklyn,Apartment,90.0,Private room,11211.0,1.0,1,91,99,93.0
4/4/2009,5Minutes To Manhattan Cozy Oasis,Bronx,Apartment,80.0,Private room,10451.0,3.0,1,105,42,81.0
4/4/2009,5Minutes To Manhattan Zen&Cozy,Bronx,Apartment,85.0,Private room,10451.0,3.0,1,96,42,87.0
